id,name,type,traffic_volume,speed_limit,lanes,latitude,longitude
4892,JALALPUR JATTAN ROAD GUJRAT Pakistan #4892,Highway,3643,80,4,32.6039016,74.137435
4893,UNIVERSITY ROAD GUJRAT Pakistan #4893,Highway,3429,40,4,32.6201744,74.0789545
4894,NEAR PSO PUMP GUJRAT Pakistan #4894,Residential,4829,40,4,32.5925382,74.0468811
4895,JALALPUR JATTAN ROAD GUJRAT Pakistan #4895,Highway,4793,100,3,32.5862974,74.0567177
4896,NEAR PSO PUMP GUJRAT Pakistan #4896,Residential,4487,100,3,32.5615005,74.0806009
4897,JALALPUR JATTAN ROAD GUJRAT Pakistan #4897,Arterial,951,120,5,32.6304253,74.1852753
4898,NEAR PSO PUMP GUJRAT Pakistan #4898,Highway,2673,30,1,32.5730725,74.1005044
4899,NEAR MARKET GUJRAT Pakistan #4899,Highway,3634,30,3,32.5250136,74.0896883
4900,VILLAGE LINK ROAD GUJRAT Pakistan #4900,Residential,2896,100,1,32.5600873,74.0828027
4901,NEAR PSO PUMP GUJRAT Pakistan #4901,Residential,2979,80,4,32.5636426,74.0801078
4902,DINGA ROAD GUJRAT Pakistan #4902,Rural,1164,120,6,32.5449782,74.0909602
4903,NEAR SCHOOL ROAD GUJRAT Pakistan #4903,Residential,1416,50,5,32.5588588,74.0433025
4904,GT ROAD GUJRAT Pakistan #4904,Arterial,4505,120,1,32.5588588,74.0433025
4905,UNIVERSITY ROAD GUJRAT Pakistan #4905,Residential,4782,60,2,32.6412756,74.2061794
4906,GT ROAD GUJRAT Pakistan #4906,Highway,2872,50,6,32.6124767,74.080946
4907,NEAR BUS STOP GUJRAT Pakistan #4907,Residential,4725,60,2,32.570722,74.0807784
4908,VILLAGE LINK ROAD GUJRAT Pakistan #4908,Highway,2262,100,2,32.6621112,74.0175265
4909,SERVICE ROAD GUJRAT Pakistan #4909,Highway,2984,40,1,32.5588588,74.0433025
4910,NEAR PSO PUMP GUJRAT Pakistan #4910,Residential,1511,120,5,32.5377219,74.0623238
4911,CHOWK AREA GUJRAT Pakistan #4911,Arterial,4445,120,2,32.6272367,74.1787933
4912,NEAR SCHOOL ROAD GUJRAT Pakistan #4912,Highway,3740,60,6,32.5925382,74.0468811
4913,JALALPUR JATTAN ROAD GUJRAT Pakistan #4913,Rural,2225,50,4,32.6460466,74.210953
4914,DINGA ROAD GUJRAT Pakistan #4914,Residential,2000,100,3,32.6097632,74.0793
4915,DINGA ROAD GUJRAT Pakistan #4915,Residential,1309,40,1,32.570722,74.0807784
4916,NEAR MARKET GUJRAT Pakistan #4916,Residential,686,40,1,32.5626069,74.0517515
4917,CHOWK AREA GUJRAT Pakistan #4917,Residential,4053,40,1,32.5377219,74.0623238
4918,NEAR SCHOOL ROAD GUJRAT Pakistan #4918,Residential,4845,80,4,32.5798775,74.0602528
4919,NEAR SCHOOL ROAD GUJRAT Pakistan #4919,Arterial,689,50,5,32.5843073,74.0764902
4920,NEAR BUS STOP GUJRAT Pakistan #4920,Highway,1655,60,5,32.5898911,74.0503762
4921,VILLAGE LINK ROAD GUJRAT Pakistan #4921,Residential,833,50,4,32.5730725,74.1005044
4922,CHOWK AREA GUJRAT Pakistan #4922,Residential,4341,80,3,32.6162481,74.1420179
4923,NEAR SCHOOL ROAD GUJRAT Pakistan #4923,Residential,2553,120,2,32.5615005,74.0806009
4924,DINGA ROAD GUJRAT Pakistan #4924,Arterial,1818,120,5,32.5730725,74.1005044
4925,SERVICE ROAD GUJRAT Pakistan #4925,Arterial,4942,40,1,32.5730725,74.1005044
4926,UNIVERSITY ROAD GUJRAT Pakistan #4926,Residential,4332,80,2,32.6035962,74.0491065
4927,NEAR MARKET GUJRAT Pakistan #4927,Arterial,4409,40,1,32.5856636,74.0661684
4928,DINGA ROAD GUJRAT Pakistan #4928,Highway,4454,120,5,32.5632439,74.0406361
4929,UNIVERSITY ROAD GUJRAT Pakistan #4929,Arterial,4338,60,3,32.5653253,74.0751705
4930,NEAR SCHOOL ROAD GUJRAT Pakistan #4930,Residential,3829,30,6,32.6480365,74.2120629
4931,NEAR BUS STOP GUJRAT Pakistan #4931,Highway,2441,80,3,32.5730725,74.1005044
4932,NEAR SCHOOL ROAD GUJRAT Pakistan #4932,Arterial,4064,60,1,32.5581035,74.0849176
4933,UNIVERSITY ROAD GUJRAT Pakistan #4933,Arterial,3458,60,1,32.5195708,74.0933105
4934,UNIVERSITY ROAD GUJRAT Pakistan #4934,Residential,2406,60,4,32.5730725,74.1005044
4935,SERVICE ROAD GUJRAT Pakistan #4935,Highway,4256,80,3,32.6480365,74.2120629
4936,VILLAGE LINK ROAD GUJRAT Pakistan #4936,Highway,2702,50,3,32.6501118,74.079212
4937,NEAR PSO PUMP GUJRAT Pakistan #4937,Residential,2918,30,1,32.5648686,74.0786705
4938,UNIVERSITY ROAD GUJRAT Pakistan #4938,Residential,1839,100,1,32.5692876,74.0998171
4939,BHIMBER ROAD GUJRAT Pakistan #4939,Arterial,3998,40,5,32.57026,74.084046
4940,NEAR MARKET GUJRAT Pakistan #4940,Residential,2995,80,1,32.5730725,74.1005044
4941,DINGA ROAD GUJRAT Pakistan #4941,Rural,3373,60,1,32.6951821,74.1269582
4942,UNIVERSITY ROAD GUJRAT Pakistan #4942,Residential,5152,40,3,32.5499292,74.0704819
4943,NEAR BUS STOP GUJRAT Pakistan #4943,Rural,4557,50,6,32.6209735,74.0788898
4944,BHIMBER ROAD GUJRAT Pakistan #4944,Rural,2588,30,1,32.5747847,74.0701608
4945,CHOWK AREA GUJRAT Pakistan #4945,Residential,2503,80,6,32.4967199,74.0109161
4946,NEAR PSO PUMP GUJRAT Pakistan #4946,Rural,1650,50,1,32.6480365,74.2120629
4947,DINGA ROAD GUJRAT Pakistan #4947,Highway,5027,50,5,32.6035962,74.0491065
4948,BHIMBER ROAD GUJRAT Pakistan #4948,Highway,4717,40,2,32.5925382,74.0468811
4949,NEAR BUS STOP GUJRAT Pakistan #4949,Residential,4641,100,3,32.5882821,74.0803337
4950,SERVICE ROAD GUJRAT Pakistan #4950,Residential,3729,50,4,32.5903851,74.0760013
4951,CHOWK AREA GUJRAT Pakistan #4951,Rural,1745,30,2,32.5897727,74.0514371
4952,NEAR PSO PUMP GUJRAT Pakistan #4952,Highway,3881,30,4,32.5624664,74.0644355
4953,CHOWK AREA GUJRAT Pakistan #4953,Residential,2884,30,1,32.5499292,74.0704819
4954,DINGA ROAD GUJRAT Pakistan #4954,Rural,3846,80,4,32.5862974,74.0567177
4955,NEAR PSO PUMP GUJRAT Pakistan #4955,Arterial,2624,60,5,32.5588588,74.0433025
4956,NEAR SCHOOL ROAD GUJRAT Pakistan #4956,Residential,1639,100,4,32.4976158,74.0949982
4957,JALALPUR JATTAN ROAD GUJRAT Pakistan #4957,Arterial,2017,100,4,32.5843236,74.0840127
4958,NEAR PSO PUMP GUJRAT Pakistan #4958,Arterial,3744,40,1,32.5730725,74.1005044
4959,GT ROAD GUJRAT Pakistan #4959,Arterial,2460,100,2,32.6719258,74.4100587
4960,DINGA ROAD GUJRAT Pakistan #4960,Rural,3562,80,1,32.5794828,74.0964961
4961,UNIVERSITY ROAD GUJRAT Pakistan #4961,Highway,2382,60,2,32.5622791,74.1342726
4962,DINGA ROAD GUJRAT Pakistan #4962,Arterial,5049,40,4,32.583662,74.1078459
4963,VILLAGE LINK ROAD GUJRAT Pakistan #4963,Highway,3003,50,5,32.5843073,74.0764902
4964,NEAR MARKET GUJRAT Pakistan #4964,Residential,2538,60,4,32.5625405,74.0797928
4965,CHOWK AREA GUJRAT Pakistan #4965,Highway,1296,100,4,32.5730725,74.1005044
4966,VILLAGE LINK ROAD GUJRAT Pakistan #4966,Residential,1682,50,1,32.5587491,74.0429687
4967,DINGA ROAD GUJRAT Pakistan #4967,Arterial,4912,40,3,32.6022189,74.0342452
4968,NEAR BUS STOP GUJRAT Pakistan #4968,Highway,2130,30,3,32.558159,74.0575935
4969,SERVICE ROAD GUJRAT Pakistan #4969,Highway,3345,80,5,32.5687924,74.0687495
4970,DINGA ROAD GUJRAT Pakistan #4970,Highway,4217,40,6,32.5690734,74.072083
4971,DINGA ROAD GUJRAT Pakistan #4971,Highway,3747,100,4,32.6304253,74.1852753
4972,NEAR BUS STOP GUJRAT Pakistan #4972,Highway,2868,30,2,32.618091,74.078387
4973,GT ROAD GUJRAT Pakistan #4973,Arterial,1602,80,5,32.5675134,74.1107824
4974,NEAR MARKET GUJRAT Pakistan #4974,Highway,3316,60,3,32.5624664,74.0644355
4975,CHOWK AREA GUJRAT Pakistan #4975,Highway,861,60,1,32.514337,74.0947508
4976,NEAR MARKET GUJRAT Pakistan #4976,Arterial,1011,100,1,32.5229296,74.0523316
4977,SERVICE ROAD GUJRAT Pakistan #4977,Residential,863,120,3,32.5625405,74.0797928
4978,JALALPUR JATTAN ROAD GUJRAT Pakistan #4978,Residential,3962,60,5,32.626954,74.175865
4979,NEAR PSO PUMP GUJRAT Pakistan #4979,Highway,707,120,3,32.5862974,74.0567177
4980,GT ROAD GUJRAT Pakistan #4980,Highway,3762,80,4,32.5808058,74.0939432
4981,UNIVERSITY ROAD GUJRAT Pakistan #4981,Residential,3354,50,1,32.5783962,74.061659
4982,NEAR PSO PUMP GUJRAT Pakistan #4982,Highway,1764,40,6,32.5657319,74.0407111
4983,NEAR MARKET GUJRAT Pakistan #4983,Residential,811,40,1,32.5693796,74.073685
4984,NEAR BUS STOP GUJRAT Pakistan #4984,Residential,1791,60,2,32.4976158,74.0949982
4985,CHOWK AREA GUJRAT Pakistan #4985,Rural,2888,100,4,32.5687924,74.0687495
4986,VILLAGE LINK ROAD GUJRAT Pakistan #4986,Highway,5137,100,6,32.5588588,74.0433025
4987,UNIVERSITY ROAD GUJRAT Pakistan #4987,Highway,1327,50,5,32.5615005,74.0806009
4988,DINGA ROAD GUJRAT Pakistan #4988,Residential,861,30,1,32.6098864,74.0498408
4989,BHIMBER ROAD GUJRAT Pakistan #4989,Highway,1229,30,4,32.5655171,74.0580751
4990,DINGA ROAD GUJRAT Pakistan #4990,Residential,3756,80,3,32.5588588,74.0433025
4991,NEAR PSO PUMP GUJRAT Pakistan #4991,Highway,4106,50,4,32.5776745,74.07508
4992,UNIVERSITY ROAD GUJRAT Pakistan #4992,Residential,1984,120,4,32.5954494,74.0446875
4993,NEAR MARKET GUJRAT Pakistan #4993,Highway,1182,120,1,32.5587491,74.0429687
4994,DINGA ROAD GUJRAT Pakistan #4994,Residential,1603,80,5,32.5465942,74.0821496
4995,JALALPUR JATTAN ROAD GUJRAT Pakistan #4995,Residential,3701,50,6,32.5673753,74.0802452
4996,GT ROAD GUJRAT Pakistan #4996,Residential,1033,100,1,32.6304253,74.1852753
4997,NEAR BUS STOP GUJRAT Pakistan #4997,Residential,4226,30,4,32.5449782,74.0909602
4998,JALALPUR JATTAN ROAD GUJRAT Pakistan #4998,Residential,4996,60,3,32.5850799,74.0428197
4999,JALALPUR JATTAN ROAD GUJRAT Pakistan #4999,Arterial,2289,120,4,32.5913519,74.0608558
5000,CHOWK AREA GUJRAT Pakistan #5000,Highway,1065,40,3,32.5779143,74.0640682
5001,CHOWK AREA GUJRAT Pakistan #5001,Residential,4619,60,1,32.5774479,74.0631351
5002,NEAR MARKET GUJRAT Pakistan #5002,Rural,2413,100,5,32.5372129,74.0916714
5003,CHOWK AREA GUJRAT Pakistan #5003,Residential,3980,50,1,32.5274217,74.0990361
5004,DINGA ROAD GUJRAT Pakistan #5004,Residential,4811,40,2,32.5587491,74.0429687
5005,VILLAGE LINK ROAD GUJRAT Pakistan #5005,Residential,3136,30,5,32.5817481,74.0947531
5006,UNIVERSITY ROAD GUJRAT Pakistan #5006,Arterial,1709,60,4,32.6528916,74.2230683
5007,DINGA ROAD GUJRAT Pakistan #5007,Arterial,869,100,1,32.5588588,74.0433025
5008,NEAR MARKET GUJRAT Pakistan #5008,Arterial,2011,100,4,32.583662,74.1078459
5009,UNIVERSITY ROAD GUJRAT Pakistan #5009,Residential,3153,80,1,32.6501118,74.079212
5010,UNIVERSITY ROAD GUJRAT Pakistan #5010,Highway,4177,30,1,32.56632,74.0703689
5011,JALALPUR JATTAN ROAD GUJRAT Pakistan #5011,Highway,2274,30,3,32.5862974,74.0567177
5012,JALALPUR JATTAN ROAD GUJRAT Pakistan #5012,Residential,3723,30,5,32.5843296,74.0799613
5013,JALALPUR JATTAN ROAD GUJRAT Pakistan #5013,Arterial,3344,100,1,32.6272694,74.0777442
5014,BHIMBER ROAD GUJRAT Pakistan #5014,Residential,3172,40,6,32.5712012,74.0750116
5015,NEAR BUS STOP GUJRAT Pakistan #5015,Highway,4514,60,2,32.5682175,74.0869221
5016,UNIVERSITY ROAD GUJRAT Pakistan #5016,Arterial,2194,120,3,32.5914535,74.075601
5017,VILLAGE LINK ROAD GUJRAT Pakistan #5017,Highway,1308,80,3,32.5624664,74.0644355
5018,GT ROAD GUJRAT Pakistan #5018,Residential,1568,50,5,32.5693817,74.0414717
5019,UNIVERSITY ROAD GUJRAT Pakistan #5019,Rural,2451,30,3,32.5588588,74.0433025
5020,NEAR PSO PUMP GUJRAT Pakistan #5020,Arterial,1867,30,6,32.5588588,74.0433025
5021,JALALPUR JATTAN ROAD GUJRAT Pakistan #5021,Residential,4525,30,2,32.583662,74.1078459
5022,VILLAGE LINK ROAD GUJRAT Pakistan #5022,Rural,885,30,1,32.4793759,74.0917788
5023,VILLAGE LINK ROAD GUJRAT Pakistan #5023,Rural,1375,80,3,32.5625405,74.0797928
5024,DINGA ROAD GUJRAT Pakistan #5024,Rural,2848,80,1,32.5850799,74.0428197
5025,CHOWK AREA GUJRAT Pakistan #5025,Highway,3561,60,6,32.5789042,74.0669381
5026,CHOWK AREA GUJRAT Pakistan #5026,Residential,5018,50,4,32.6114313,74.0303473
5027,NEAR PSO PUMP GUJRAT Pakistan #5027,Residential,1274,50,1,32.57062,74.0809309
5028,NEAR SCHOOL ROAD GUJRAT Pakistan #5028,Highway,2232,120,1,32.5783962,74.061659
5029,UNIVERSITY ROAD GUJRAT Pakistan #5029,Residential,1818,40,5,32.6301772,74.1837645
5030,UNIVERSITY ROAD GUJRAT Pakistan #5030,Arterial,1944,120,1,32.5635774,74.0565873
5031,VILLAGE LINK ROAD GUJRAT Pakistan #5031,Residential,5114,50,1,32.5588588,74.0433025
5032,DINGA ROAD GUJRAT Pakistan #5032,Rural,3453,120,3,32.5730725,74.1005044
5033,NEAR MARKET GUJRAT Pakistan #5033,Residential,1929,40,2,32.5730725,74.1005044
5034,GT ROAD GUJRAT Pakistan #5034,Arterial,4614,80,3,32.57062,74.0809309
5035,UNIVERSITY ROAD GUJRAT Pakistan #5035,Residential,1240,50,2,32.6377717,74.1958929
5036,CHOWK AREA GUJRAT Pakistan #5036,Rural,1479,40,3,32.561654,74.0504323
5037,VILLAGE LINK ROAD GUJRAT Pakistan #5037,Highway,4375,40,3,32.5587491,74.0429687
5038,JALALPUR JATTAN ROAD GUJRAT Pakistan #5038,Highway,2854,120,2,32.5910902,74.0871118
5039,NEAR MARKET GUJRAT Pakistan #5039,Highway,3637,50,3,32.5093675,74.0971763
5040,UNIVERSITY ROAD GUJRAT Pakistan #5040,Rural,1604,60,2,32.5963528,74.0410284
5041,CHOWK AREA GUJRAT Pakistan #5041,Residential,4048,40,5,32.5757806,74.0749365
5042,JALALPUR JATTAN ROAD GUJRAT Pakistan #5042,Arterial,2725,120,2,32.5794063,74.0483721
5043,JALALPUR JATTAN ROAD GUJRAT Pakistan #5043,Arterial,3600,50,2,32.5609523,74.0828491
5044,JALALPUR JATTAN ROAD GUJRAT Pakistan #5044,Residential,4077,40,3,32.5757806,74.0749365
5045,CHOWK AREA GUJRAT Pakistan #5045,Rural,2240,100,6,32.5704372,74.0707723
5046,NEAR PSO PUMP GUJRAT Pakistan #5046,Arterial,4408,80,6,32.5927722,74.1157376
5047,NEAR PSO PUMP GUJRAT Pakistan #5047,Rural,3154,60,6,32.5885521,74.053398
5048,NEAR SCHOOL ROAD GUJRAT Pakistan #5048,Highway,4907,40,1,32.6578309,74.2284025
5049,JALALPUR JATTAN ROAD GUJRAT Pakistan #5049,Highway,3323,60,6,32.6016715,74.0778492
5050,JALALPUR JATTAN ROAD GUJRAT Pakistan #5050,Arterial,4414,80,1,32.5588588,74.0433025
5051,CHOWK AREA GUJRAT Pakistan #5051,Arterial,4912,100,2,32.5675134,74.1107824
5052,CHOWK AREA GUJRAT Pakistan #5052,Highway,1913,80,5,32.5588588,74.0433025
5053,CHOWK AREA GUJRAT Pakistan #5053,Highway,3716,80,4,32.5624664,74.0644355
5054,GT ROAD GUJRAT Pakistan #5054,Highway,2057,30,1,32.5730725,74.1005044
5055,DINGA ROAD GUJRAT Pakistan #5055,Arterial,4635,30,1,32.5153988,74.0930414
5056,BHIMBER ROAD GUJRAT Pakistan #5056,Highway,3983,100,3,32.6038722,74.1374565
5057,SERVICE ROAD GUJRAT Pakistan #5057,Arterial,3140,60,2,32.5757806,74.0749365
5058,DINGA ROAD GUJRAT Pakistan #5058,Residential,1664,60,2,32.5654829,74.0753995
5059,NEAR PSO PUMP GUJRAT Pakistan #5059,Residential,3457,60,1,32.5730725,74.1005044
5060,UNIVERSITY ROAD GUJRAT Pakistan #5060,Residential,3280,40,6,32.4793759,74.0917788
5061,CHOWK AREA GUJRAT Pakistan #5061,Residential,4145,50,6,32.5588588,74.0433025
5062,NEAR BUS STOP GUJRAT Pakistan #5062,Arterial,1621,40,2,32.5574131,74.0740098
5063,BHIMBER ROAD GUJRAT Pakistan #5063,Arterial,2063,120,2,32.5637966,74.0405151
5064,NEAR MARKET GUJRAT Pakistan #5064,Residential,4128,50,5,32.5730725,74.1005044
5065,SERVICE ROAD GUJRAT Pakistan #5065,Arterial,1850,50,3,32.6447285,74.0399268
5066,JALALPUR JATTAN ROAD GUJRAT Pakistan #5066,Highway,1704,40,3,32.5946888,74.0697998
5067,NEAR SCHOOL ROAD GUJRAT Pakistan #5067,Highway,1252,50,1,32.5615005,74.0806009
5068,CHOWK AREA GUJRAT Pakistan #5068,Arterial,2737,100,6,32.5519382,74.0755415
5069,SERVICE ROAD GUJRAT Pakistan #5069,Arterial,1843,80,6,32.5730725,74.1005044
5070,NEAR PSO PUMP GUJRAT Pakistan #5070,Highway,4761,100,6,32.6377717,74.1958929
5071,UNIVERSITY ROAD GUJRAT Pakistan #5071,Highway,1369,80,1,32.559307,74.0657571
5072,GT ROAD GUJRAT Pakistan #5072,Highway,3969,40,4,32.5648353,74.0672822
5073,NEAR PSO PUMP GUJRAT Pakistan #5073,Residential,2571,80,4,32.568783,74.0789832
5074,UNIVERSITY ROAD GUJRAT Pakistan #5074,Arterial,3554,100,3,32.5759616,74.0822414
5075,SERVICE ROAD GUJRAT Pakistan #5075,Highway,4278,80,6,32.5516352,74.0706787
5076,JALALPUR JATTAN ROAD GUJRAT Pakistan #5076,Residential,3974,30,3,32.5675134,74.1107824
5077,UNIVERSITY ROAD GUJRAT Pakistan #5077,Rural,4330,120,5,32.5375899,74.0618133
5078,DINGA ROAD GUJRAT Pakistan #5078,Residential,2452,80,5,32.575271,74.1335386
5079,GT ROAD GUJRAT Pakistan #5079,Rural,3341,50,4,32.5657319,74.0407111
5080,UNIVERSITY ROAD GUJRAT Pakistan #5080,Rural,2166,60,1,32.5588588,74.0433025
5081,UNIVERSITY ROAD GUJRAT Pakistan #5081,Highway,1500,40,6,32.5843296,74.0799613
5082,JALALPUR JATTAN ROAD GUJRAT Pakistan #5082,Rural,1635,80,2,32.5296618,74.0511094
5083,NEAR SCHOOL ROAD GUJRAT Pakistan #5083,Highway,2839,40,6,32.5750832,74.0718106
5084,CHOWK AREA GUJRAT Pakistan #5084,Residential,4008,100,6,32.6066096,74.0772164
5085,JALALPUR JATTAN ROAD GUJRAT Pakistan #5085,Highway,3340,50,5,32.6377717,74.1958929
5086,CHOWK AREA GUJRAT Pakistan #5086,Rural,2384,30,2,32.5862974,74.0567177
5087,JALALPUR JATTAN ROAD GUJRAT Pakistan #5087,Residential,3243,60,3,32.5927722,74.1157376
5088,NEAR SCHOOL ROAD GUJRAT Pakistan #5088,Arterial,4787,50,4,32.5878963,74.051539
5089,VILLAGE LINK ROAD GUJRAT Pakistan #5089,Highway,1037,40,4,32.5632439,74.0406361
5090,NEAR SCHOOL ROAD GUJRAT Pakistan #5090,Residential,1534,60,1,32.5323181,74.0921783
5091,SERVICE ROAD GUJRAT Pakistan #5091,Residential,1243,120,4,32.585018,74.0646164
5092,SERVICE ROAD GUJRAT Pakistan #5092,Highway,4939,40,4,32.5632439,74.0406361
5093,NEAR SCHOOL ROAD GUJRAT Pakistan #5093,Residential,3627,40,2,32.5927722,74.1157376
5094,SERVICE ROAD GUJRAT Pakistan #5094,Arterial,903,60,5,32.5730725,74.1005044
5095,NEAR MARKET GUJRAT Pakistan #5095,Residential,4099,60,1,32.6377717,74.1958929
5096,NEAR PSO PUMP GUJRAT Pakistan #5096,Residential,2707,120,6,32.5552696,74.0742096
5097,NEAR BUS STOP GUJRAT Pakistan #5097,Residential,2059,80,1,32.6407156,74.1666998
5098,BHIMBER ROAD GUJRAT Pakistan #5098,Rural,4768,50,6,32.5730725,74.1005044
5099,NEAR PSO PUMP GUJRAT Pakistan #5099,Residential,1646,100,2,32.5613032,74.0652256
5100,NEAR BUS STOP GUJRAT Pakistan #5100,Residential,4533,30,1,32.5119798,74.0329499
5101,GT ROAD GUJRAT Pakistan #5101,Arterial,1177,50,1,32.5588588,74.0433025
5102,NEAR SCHOOL ROAD GUJRAT Pakistan #5102,Highway,1547,100,4,32.6383713,74.0055909
5103,BHIMBER ROAD GUJRAT Pakistan #5103,Residential,1259,100,4,32.5897727,74.0514371
5104,GT ROAD GUJRAT Pakistan #5104,Highway,3816,100,3,32.5588588,74.0433025
5105,VILLAGE LINK ROAD GUJRAT Pakistan #5105,Highway,2296,30,4,32.56632,74.0703689
5106,CHOWK AREA GUJRAT Pakistan #5106,Residential,3512,30,5,32.5911139,74.04804
5107,UNIVERSITY ROAD GUJRAT Pakistan #5107,Highway,4370,30,6,32.5862974,74.0567177
5108,NEAR BUS STOP GUJRAT Pakistan #5108,Rural,4214,50,1,32.6951821,74.1269582
5109,DINGA ROAD GUJRAT Pakistan #5109,Residential,679,50,1,32.5380958,74.0986918
5110,BHIMBER ROAD GUJRAT Pakistan #5110,Highway,4317,40,2,32.5632439,74.0406361
5111,NEAR MARKET GUJRAT Pakistan #5111,Highway,5022,100,2,32.5617272,74.0420747
5112,NEAR SCHOOL ROAD GUJRAT Pakistan #5112,Residential,3126,40,6,32.6038722,74.1374565
5113,VILLAGE LINK ROAD GUJRAT Pakistan #5113,Arterial,4258,60,6,32.5692876,74.0998171
5114,DINGA ROAD GUJRAT Pakistan #5114,Arterial,1784,120,6,32.6708206,74.0837749
5115,SERVICE ROAD GUJRAT Pakistan #5115,Residential,4716,80,6,32.6480365,74.2120629
5116,VILLAGE LINK ROAD GUJRAT Pakistan #5116,Arterial,3099,30,3,32.5730725,74.1005044
5117,NEAR PSO PUMP GUJRAT Pakistan #5117,Residential,3594,40,2,32.558159,74.0575935
5118,NEAR SCHOOL ROAD GUJRAT Pakistan #5118,Highway,1043,60,3,32.5862974,74.0567177
5119,DINGA ROAD GUJRAT Pakistan #5119,Rural,4919,80,3,32.5081839,74.0910203
5120,VILLAGE LINK ROAD GUJRAT Pakistan #5120,Residential,1716,60,2,32.6128882,74.0792485
5121,NEAR MARKET GUJRAT Pakistan #5121,Rural,2290,100,3,32.5079067,74.0432206
5122,UNIVERSITY ROAD GUJRAT Pakistan #5122,Residential,2610,100,4,32.6231283,74.020648
5123,VILLAGE LINK ROAD GUJRAT Pakistan #5123,Arterial,3459,80,1,32.5119798,74.0329499
5124,SERVICE ROAD GUJRAT Pakistan #5124,Highway,836,30,6,32.5792771,74.088574
5125,NEAR SCHOOL ROAD GUJRAT Pakistan #5125,Arterial,897,60,5,32.5079067,74.0432206
5126,NEAR SCHOOL ROAD GUJRAT Pakistan #5126,Arterial,1343,100,2,32.5921906,74.116012
5127,NEAR PSO PUMP GUJRAT Pakistan #5127,Residential,3629,30,1,32.5817503,74.0455402
5128,SERVICE ROAD GUJRAT Pakistan #5128,Residential,2052,120,3,32.5853647,74.0675061
5129,CHOWK AREA GUJRAT Pakistan #5129,Residential,3244,100,3,32.5839917,74.0782035
5130,NEAR SCHOOL ROAD GUJRAT Pakistan #5130,Residential,4927,30,2,32.5488192,74.0501935
5131,SERVICE ROAD GUJRAT Pakistan #5131,Rural,2850,100,6,32.5730725,74.1005044
5132,CHOWK AREA GUJRAT Pakistan #5132,Arterial,2159,60,6,32.5828941,74.1087452
5133,UNIVERSITY ROAD GUJRAT Pakistan #5133,Highway,2331,120,1,32.6098864,74.0498408
5134,NEAR PSO PUMP GUJRAT Pakistan #5134,Residential,4964,60,1,32.6016715,74.0778492
5135,NEAR MARKET GUJRAT Pakistan #5135,Residential,2002,60,6,32.6688828,74.1770858
5136,NEAR BUS STOP GUJRAT Pakistan #5136,Arterial,1818,120,6,32.629583,74.079007
5137,UNIVERSITY ROAD GUJRAT Pakistan #5137,Arterial,652,120,6,32.6377717,74.1958929
5138,VILLAGE LINK ROAD GUJRAT Pakistan #5138,Residential,3724,60,5,32.5320205,74.0666046
5139,DINGA ROAD GUJRAT Pakistan #5139,Arterial,2841,40,6,32.5552696,74.0742096
5140,CHOWK AREA GUJRAT Pakistan #5140,Residential,1131,100,3,32.5752778,74.0711111
5141,CHOWK AREA GUJRAT Pakistan #5141,Residential,4113,120,6,32.514337,74.0947508
5142,NEAR PSO PUMP GUJRAT Pakistan #5142,Arterial,1379,100,1,32.6538589,74.1086246
5143,SERVICE ROAD GUJRAT Pakistan #5143,Rural,4282,40,2,32.5628494,74.0537739
5144,CHOWK AREA GUJRAT Pakistan #5144,Arterial,1004,40,1,32.6038722,74.1374565
5145,BHIMBER ROAD GUJRAT Pakistan #5145,Arterial,2920,80,1,32.595951,74.0795821
5146,DINGA ROAD GUJRAT Pakistan #5146,Residential,2469,50,6,32.5828941,74.1087452
5147,VILLAGE LINK ROAD GUJRAT Pakistan #5147,Highway,4135,30,3,32.618091,74.078387
5148,JALALPUR JATTAN ROAD GUJRAT Pakistan #5148,Arterial,3484,60,3,32.6039016,74.137435
5149,NEAR PSO PUMP GUJRAT Pakistan #5149,Rural,4967,80,2,32.5670037,74.066112
5150,SERVICE ROAD GUJRAT Pakistan #5150,Rural,4939,30,3,32.6209735,74.0788898
5151,CHOWK AREA GUJRAT Pakistan #5151,Arterial,5043,80,6,32.5732414,74.0751176
5152,JALALPUR JATTAN ROAD GUJRAT Pakistan #5152,Arterial,1577,100,5,32.5899071,74.0762757
5153,GT ROAD GUJRAT Pakistan #5153,Highway,4447,120,2,32.5093675,74.0971763
5154,NEAR PSO PUMP GUJRAT Pakistan #5154,Residential,1495,40,3,32.6407156,74.1666998
5155,VILLAGE LINK ROAD GUJRAT Pakistan #5155,Highway,2196,80,3,32.4976158,74.0949982
5156,GT ROAD GUJRAT Pakistan #5156,Arterial,4481,50,2,32.4967199,74.0109161
5157,GT ROAD GUJRAT Pakistan #5157,Residential,4667,30,3,32.6356051,74.0094471
5158,SERVICE ROAD GUJRAT Pakistan #5158,Arterial,804,80,6,32.5958119,74.0289106
5159,JALALPUR JATTAN ROAD GUJRAT Pakistan #5159,Arterial,2039,80,4,32.564327,74.0583307
5160,NEAR MARKET GUJRAT Pakistan #5160,Rural,1359,30,4,32.5670037,74.066112
5161,DINGA ROAD GUJRAT Pakistan #5161,Arterial,3116,30,1,32.5588588,74.0433025
5162,BHIMBER ROAD GUJRAT Pakistan #5162,Arterial,3567,50,4,32.5925382,74.0468811
